transcription,duration,up_votes,down_votes,age,gender,accent,transcription_original,transcription_clean,word_count,char_count,pitch_mean,energy_mean,zcr_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Parmaklarının ucundan tuttum ve Allahaısmarladık dedim.,4.176,2,0,fifties,male_masculine,unknown,Parmaklarının ucundan tuttum ve Allahaısmarladık dedim.,parmaklarının ucundan tuttum ve allahaısmarladık dedim,6,54,178.40204373498702,0.09174774,0.10456031976744186,-276.96634,120.38454,24.65225,18.845543,-39.76035,-7.947311,-1.4397715,-16.828999,-29.228205,-7.273896,-12.895161,-0.7897372,-9.408241
Yalnız orkestranın bulunduğu yerde hafif bir ışık vardı.,3.888,2,0,fifties,male_masculine,unknown,Yalnız orkestranın bulunduğu yerde hafif bir ışık vardı.,yalnız orkestranın bulunduğu yerde hafif bir ışık vardı,8,55,182.96635172093895,0.11328977,0.13523339023109243,-236.94284,108.991196,37.719467,29.812126,-48.84286,-2.6071267,-18.957844,-12.467817,-19.207022,-20.565645,-16.444328,-2.2713518,-10.74506
Ve değirmenci buna iki çömlek de yoğurt ilave etti.,3.6,2,0,fifties,male_masculine,unknown,Ve değirmenci buna iki çömlek de yoğurt ilave etti.,ve değirmenci buna iki çömlek de yoğurt ilave etti,9,50,189.81670003064707,0.10786539,0.09090465198863637,-244.43184,101.39459,29.45863,40.32338,-36.94961,-6.2608323,-23.916458,-8.072794,-21.86932,-20.391544,-16.678684,-2.241378,-9.066526
Bir kişiye olsun içimdekileri dökebilsem.,3.096,2,0,fifties,male_masculine,unknown,Bir kişiye olsun içimdekileri dökebilsem.,bir kişiye olsun içimdekileri dökebilsem,5,40,185.29430861086067,0.105546035,0.14256773603723405,-244.17143,71.14833,41.574238,56.722546,-34.526672,-13.543615,-18.06202,-6.602877,-21.261818,-17.130377,-21.202574,-2.399845,-11.531002
"İyiyim, sen keyfine bak ve kışı orada geçir diye mektuplar yazıyordu.",4.572,2,0,fifties,male_masculine,unknown,"İyiyim, sen keyfine bak ve kışı orada geçir diye mektuplar yazıyordu.",iyiyim sen keyfine bak ve kışı orada geçir diye mektuplar yazıyordu,11,67,184.32472719206424,0.11304346,0.11088139960106383,-235.49895,96.32505,27.910618,43.322945,-38.612965,-6.2761517,-19.64358,-8.594268,-25.838867,-18.887749,-12.022177,-0.99324155,-13.980817
Kendimi pek o kadar iyi hissetmiyorum.,2.304,2,1,fifties,male_masculine,unknown,Kendimi pek o kadar iyi hissetmiyorum.,kendimi pek o kadar iyi hissetmiyorum,6,37,194.11630594511192,0.117096886,0.10971467391304347,-243.6742,112.58578,31.534353,39.179302,-29.906042,-8.205586,-28.68424,-2.9220293,-24.69154,-22.330795,-17.260975,-2.6899943,-13.785402
"Atmaca önüne bakıyor, niçin çağırdığımı, ne söyleyeceğimi sormuyordu.",4.896,2,0,fifties,male_masculine,unknown,"Atmaca önüne bakıyor, niçin çağırdığımı, ne söyleyeceğimi sormuyordu.",atmaca önüne bakıyor niçin çağırdığımı ne söyleyeceğimi sormuyordu,8,66,182.34903973234515,0.11669153,0.1175820053807947,-232.87428,107.878334,21.746761,31.77259,-40.050205,-6.8496385,-15.880373,-10.290839,-27.094091,-14.838705,-18.241451,-2.1032538,-7.9425273
Sen benim sevmemin nasıl olacağını bilirsin.,2.88,2,0,fifties,male_masculine,unknown,Sen benim sevmemin nasıl olacağını bilirsin.,sen benim sevmemin nasıl olacağını bilirsin,6,43,184.97835103649248,0.11236349,0.1776455965909091,-249.3045,84.64771,52.39259,27.434542,-34.76327,-6.05945,-19.65392,-3.9191895,-28.572222,-11.068016,-19.242756,-1.3663789,-11.762781
Hakkınız var!,1.188,2,0,fifties,male_masculine,unknown,Hakkınız var!,hakkınız var,2,12,178.37469871568123,0.08709269,0.17799944196428572,-235.75963,81.82455,1.4195836,14.804204,-39.729385,-10.873764,-15.732935,-0.9382708,-29.265331,-11.553183,-6.654569,14.559664,-18.334011
Ne zaman gideceksin?,1.476,2,0,fifties,male_masculine,unknown,Ne zaman gideceksin?,ne zaman gideceksin,3,19,183.9174261132055,0.09682775,0.13518732244318182,-245.68178,100.28384,41.18844,22.858103,-26.364796,-9.926056,-19.921463,-0.83277553,-27.937328,-8.408398,-19.130327,1.4256092,-12.95181
Biraz evvel!,1.188,2,0,fifties,male_masculine,unknown,Biraz evvel!,biraz evvel,2,11,163.00798984515146,0.11315969,0.11916852678571428,-246.90366,96.91051,37.36351,32.08403,-22.777208,-7.057462,-26.676613,-16.003658,-23.248655,-1.3153706,-15.0309305,-1.497594,-11.211111
Acaba uyandı mı?,1.404,2,0,fifties,male_masculine,unknown,Acaba uyandı mı?,acaba uyandı mı,3,15,179.3513979460015,0.12269673,0.06517959222560976,-234.45789,152.41594,7.129026,17.52361,-46.278034,-7.9228053,-10.358686,-11.920765,-35.679874,-8.0561075,-8.019234,5.379282,-7.3010387
İlk anda hatırlamayarak durdum.,2.196,2,0,fifties,male_masculine,unknown,İlk anda hatırlamayarak durdum.,ilk anda hatırlamayarak durdum,4,30,184.16346271067368,0.11356376,0.1042184540719697,-223.97145,126.663086,13.551962,18.84582,-44.026993,-7.921251,-13.055449,-7.4830923,-33.20526,-10.547952,-15.0105915,0.32242304,-11.311376
İşte bu kadar.,1.08,2,0,fifties,male_masculine,unknown,İşte bu kadar.,işte bu kadar,3,13,178.34317082811344,0.072389215,0.176300048828125,-238.28218,67.987045,5.811884,51.012733,-38.159515,-18.134842,-14.190172,-7.154684,-33.066822,-10.829197,-7.020905,6.8882904,-21.360554
"Peki ama, ne lüzum var?",1.584,2,0,fifties,male_masculine,unknown,"Peki ama, ne lüzum var?",peki ama ne lüzum var,5,21,185.62719545813388,0.14689213,0.11416431183510638,-197.84897,109.80978,3.749824,30.11683,-52.811104,-18.28062,-12.397428,-9.399634,-28.846743,-13.669861,-16.096487,-0.023521585,-9.54177
"Sözümün ikinci kısmını duymamış gibi yaptı, yerinden fırlayarak.",4.104,2,0,fifties,male_masculine,unknown,"Sözümün ikinci kısmını duymamış gibi yaptı, yerinden fırlayarak.",sözümün ikinci kısmını duymamış gibi yaptı yerinden fırlayarak,8,62,185.89261866394864,0.114828154,0.11876860119047619,-234.61229,100.471504,24.728233,37.59064,-33.802505,-10.235176,-17.755817,-16.901722,-22.509048,-13.70908,-14.6658,-3.8826036,-7.9873514
"Sonra, şikâyet eden bir sesle ilave etti.",2.988,2,1,fifties,male_masculine,unknown,"Sonra, şikâyet eden bir sesle ilave etti.",sonra şikyet eden bir sesle ilave etti,7,38,183.56186573436284,0.11379948,0.14718728537087913,-236.03412,89.48162,20.537052,33.316673,-37.18906,-14.494956,-36.574627,-7.9996305,-26.156054,-7.998512,-17.551088,-3.8175204,-4.447233
Derenin üst başında çıpıl çıpıl yıkanan genç kızlara karışamıyordu.,3.888,4,2,fifties,male_masculine,İstanbul türkçesi,Derenin üst başında çıpıl çıpıl yıkanan genç kızlara karışamıyordu.,derenin üst başında çıpıl çıpıl yıkanan genç kızlara karışamıyordu,9,66,206.43312669318857,0.072434865,0.2015657825630252,-268.47665,59.875854,28.759542,42.177208,-0.20745757,13.50317,-28.007706,-16.660355,-19.708881,-3.683535,-10.895726,-12.334809,-26.767056
Bütün bu sözler beni serseme döndürmüştü.,2.304,4,0,fifties,male_masculine,İstanbul türkçesi,Bütün bu sözler beni serseme döndürmüştü.,bütün bu sözler beni serseme döndürmüştü,6,40,183.2999434596772,0.100356154,0.2375099071557971,-237.69908,41.757874,47.35214,39.280933,5.289536,6.590132,-44.23536,-6.650668,-21.988611,0.49730554,-23.679262,-13.377067,-26.20643
Ne maksatla olduğunu bilmeden oraya gittim.,2.376,4,2,fifties,male_masculine,İstanbul türkçesi,Ne maksatla olduğunu bilmeden oraya gittim.,ne maksatla olduğunu bilmeden oraya gittim,6,42,231.6092153511365,0.13086282,0.13813612196180555,-218.81749,80.83804,37.51022,42.40396,-13.338696,1.2837927,-22.094713,-14.066784,-19.203623,-7.517614,-15.577274,-15.55444,-31.183384
Göğsü ağır ağır kalkıp inerek devam etti.,2.988,4,0,fifties,male_masculine,İstanbul türkçesi,Göğsü ağır ağır kalkıp inerek devam etti.,göğsü ağır ağır kalkıp inerek devam etti,7,40,184.35263080526033,0.06586038,0.12725897149725274,-294.78516,81.82548,31.793947,30.32431,-4.521131,0.43771932,-33.153687,-22.160784,-13.234058,-13.363744,-5.6603312,-12.791167,-27.124708
Acele ile gözü çektim.,1.476,4,0,fifties,male_masculine,İstanbul türkçesi,Acele ile gözü çektim.,acele ile gözü çektim,4,21,206.64425825629215,0.104135774,0.21933815696022727,-219.47919,12.072061,38.20949,84.84661,0.76613945,-4.5751143,-38.529922,2.6540766,-17.218222,-7.008908,-26.554241,-6.2247624,-38.939106
Nihayet kapıda duran sırmalı adama sordum.,2.484,4,0,fifties,male_masculine,İstanbul türkçesi,Nihayet kapıda duran sırmalı adama sordum.,nihayet kapıda duran sırmalı adama sordum,6,41,169.7639215321523,0.09733353,0.17215126439144737,-224.34761,89.304985,28.955917,5.901157,-21.690557,15.6743145,-8.3482275,-14.808549,-19.301702,-3.7943833,-16.945871,-13.200241,-31.0909
Bütün ısrarlarıma rağmen Maria annesinin çağrılmasına razı olmadı.,4.284,4,2,fifties,male_masculine,İstanbul türkçesi,Bütün ısrarlarıma rağmen Maria annesinin çağrılmasına razı olmadı.,bütün ısrarlarıma rağmen maria annesinin çağrılmasına razı olmadı,8,65,180.71313215885448,0.11531881,0.15836588541666666,-192.3138,86.453415,10.770232,6.1213093,-19.202234,5.60572,-11.586209,-8.995316,-20.213867,-2.2676792,-10.282042,-11.14309,-37.17859
"Oku, göreceksin!",1.296,4,0,fifties,male_masculine,İstanbul türkçesi,"Oku, göreceksin!",oku göreceksin,2,14,212.04243653599735,0.1656635,0.19415604440789475,-212.24472,72.21974,66.65293,30.21026,-1.5144846,5.853082,-31.098742,-3.450159,-15.715562,-11.752873,-27.189407,-2.3697743,-34.481155
Birbirimize her zamandan ziyade uzağız!,2.7,4,0,fifties,male_masculine,İstanbul türkçesi,Birbirimize her zamandan ziyade uzağız!,birbirimize her zamandan ziyade uzağız,5,38,183.96948752916424,0.093535095,0.2240139100609756,-232.07718,53.792553,27.678574,18.96691,2.4151716,9.466678,-41.22037,-7.8725204,-14.090489,2.2793937,-17.911018,-11.671476,-31.195175
Tekrar odaya girdiğim zaman hasta kadın hep aynı vaziyetteydi.,3.996,4,0,fifties,male_masculine,İstanbul türkçesi,Tekrar odaya girdiğim zaman hasta kadın hep aynı vaziyetteydi.,tekrar odaya girdiğim zaman hasta kadın hep aynı vaziyetteydi,9,61,193.9158267601676,0.10799469,0.16661597079918034,-234.92879,84.25307,22.015862,32.61722,-2.7237432,3.133835,-35.831333,-13.08652,-9.775601,-7.425352,-17.950865,-15.216763,-25.337635
Küçük Nurten bile ablasına ve dayılarına uymak için çırpınıyordu.,3.888,4,2,fifties,male_masculine,İstanbul türkçesi,Küçük Nurten bile ablasına ve dayılarına uymak için çırpınıyordu.,küçük nurten bile ablasına ve dayılarına uymak için çırpınıyordu,9,64,219.81462833657216,0.11686886,0.15379628413865545,-230.2445,65.15756,32.51546,39.752007,4.126106,8.442763,-29.179401,-25.001595,-22.41298,-8.250304,-12.292239,-14.550419,-25.380693
"Merdivenlerde tekrar boynuma atıldı, çevik bir hareketle kurtuldum ve yukarı fırladım.",5.004,4,0,fifties,male_masculine,İstanbul türkçesi,"Merdivenlerde tekrar boynuma atıldı, çevik bir hareketle kurtuldum ve yukarı fırladım.",merdivenlerde tekrar boynuma atıldı çevik bir hareketle kurtuldum ve yukarı fırladım,11,84,205.23019461451014,0.10824221,0.13632558847402598,-247.96901,74.85841,32.5765,34.495564,6.2122025,3.4446864,-25.566591,-21.459372,-17.674417,-10.421703,-10.032583,-13.349524,-24.548424
Bunu gayet iyi hissediyordum.,1.584,4,0,fifties,male_masculine,İstanbul türkçesi,Bunu gayet iyi hissediyordum.,bunu gayet iyi hissediyordum,4,28,178.18506409242102,0.097764656,0.22162774268617022,-240.19003,29.848827,49.967052,48.29749,-0.117477015,12.642335,-19.043509,-6.457404,-9.580102,-0.7368119,-19.258467,0.55346674,-33.17975
Bugün bir kuş gördüm.,1.188,4,0,fifties,male_masculine,İstanbul türkçesi,Bugün bir kuş gördüm.,bugün bir kuş gördüm,4,20,225.9235084970377,0.19270848,0.12993861607142856,-139.42714,45.238228,11.362286,41.566685,18.731007,12.190048,-20.012589,-7.7323966,-18.127575,3.101941,-30.4597,-9.577855,-31.70393
Her zamankinden daha çok yaşıyordu.,2.196,4,0,fifties,male_masculine,İstanbul türkçesi,Her zamankinden daha çok yaşıyordu.,her zamankinden daha çok yaşıyordu,5,34,216.40272847711728,0.10847766,0.17386511600378787,-198.67676,63.081127,0.01888184,25.008205,-2.0765123,8.743856,-29.2473,-6.9547324,-13.882637,0.10319773,-22.328236,-9.243931,-31.965876
"Hangi mantık, hangi hikmet bunların yeryüzünde dolaşıp nefes almalarını emrediyor?",4.896,4,0,fifties,male_masculine,İstanbul türkçesi,"Hangi mantık, hangi hikmet bunların yeryüzünde dolaşıp nefes almalarını emrediyor?",hangi mantık hangi hikmet bunların yeryüzünde dolaşıp nefes almalarını emrediyor,10,80,180.20759206360006,0.08484979,0.16270760037251655,-235.93166,57.737034,23.420568,32.7721,-4.0394707,5.738064,-28.795238,-14.835284,-13.7036295,-5.009985,-19.172815,-15.311142,-27.116564
Bana ne oluyordu?,1.08,4,0,fifties,male_masculine,İstanbul türkçesi,Bana ne oluyordu?,bana ne oluyordu,3,16,183.76946843573165,0.14283347,0.1249542236328125,-180.51749,86.928894,30.512428,8.1477165,-12.178034,1.6600254,-8.334199,-21.31948,-16.361507,2.2992353,-17.663267,-7.5434685,-36.45057
Ankara'ya niçin geldiğinizi hâlâ söylemediniz!,2.88,4,0,fifties,male_masculine,İstanbul türkçesi,Ankara'ya niçin geldiğinizi hâlâ söylemediniz!,ankaraya niçin geldiğinizi hl söylemediniz,5,42,217.20674055047505,0.11582771,0.20988325639204544,-192.62167,41.74979,23.970787,37.201023,-5.1531506,5.9278226,-32.729008,-5.7513533,-7.702139,-3.0857728,-16.660799,-7.760759,-31.842073
Sonra bizi mesul ederler!,1.584,4,0,fifties,male_masculine,İstanbul türkçesi,Sonra bizi mesul ederler!,sonra bizi mesul ederler,4,24,205.81247829734357,0.12451393,0.22344581117021275,-184.763,49.186462,16.265688,34.16152,0.13716646,2.7885668,-29.873114,-13.166406,-14.971353,1.0621622,-19.527252,-8.261803,-29.551378
"Maria başını çevirip beni görünce, hemen gülümsedi.",3.672,2,0,fifties,male_masculine,unknown,"Maria başını çevirip beni görünce, hemen gülümsedi.",maria başını çevirip beni görünce hemen gülümsedi,7,49,178.5239994414042,0.08589337,0.1113108407079646,-295.78378,103.46142,51.984516,53.92269,-25.893978,-21.653872,-19.547604,-14.236823,-17.772512,-13.061656,-17.800348,-1.5436445,-4.3519855
"Evet, hiç mübalağaya kaçmadan, hiç sırıtmadan, eski bir dost gibi beni selamladı.",5.688,2,0,fifties,male_masculine,unknown,"Evet, hiç mübalağaya kaçmadan, hiç sırıtmadan, eski bir dost gibi beni selamladı.",evet hiç mübalağaya kaçmadan hiç sırıtmadan eski bir dost gibi beni selamladı,12,77,187.4008816725571,0.11504569,0.15348399769176135,-246.61098,96.86348,37.675137,24.143171,-34.096786,-17.212921,-17.40647,-14.087638,-32.19601,-8.059403,-14.595493,4.1907716,-14.349359
Tıpkı annem gibi sizi de birinin idare etmesi lazım.,3.672,2,0,fifties,male_masculine,unknown,Tıpkı annem gibi sizi de birinin idare etmesi lazım.,tıpkı annem gibi sizi de birinin idare etmesi lazım,9,51,192.0483800788216,0.15478563,0.12725560011061948,-211.17432,97.80488,43.619396,24.884203,-27.874075,-18.28055,-22.634571,-8.220001,-27.722675,-8.362162,-22.899036,6.7468057,-14.195848
Bir yere mi gittiniz?,1.584,2,0,fifties,male_masculine,unknown,Bir yere mi gittiniz?,bir yere mi gittiniz,4,20,165.91130401033118,0.12802674,0.22853640292553193,-228.29152,45.35706,57.198044,53.360638,-24.283201,-15.464367,-17.212856,1.3987262,-25.105556,-11.319344,-22.7593,9.118549,-12.098485
Halbuki o da beni seviyor.,1.872,2,0,fifties,male_masculine,unknown,Halbuki o da beni seviyor.,halbuki o da beni seviyor,5,25,179.2670204470609,0.121493764,0.15070757949561403,-230.76599,99.68074,28.648556,31.307981,-30.733427,-23.006413,-16.471584,-12.673978,-31.770037,-6.6224403,-22.23784,9.242646,-12.2959175
Her akşamkinin aksine olarak hiç yollarda oyalanmadan pansiyona döndüm.,4.572,2,0,fifties,male_masculine,unknown,Her akşamkinin aksine olarak hiç yollarda oyalanmadan pansiyona döndüm.,her akşamkinin aksine olarak hiç yollarda oyalanmadan pansiyona döndüm,9,70,198.91506775733615,0.13288127,0.12439397717198582,-215.19858,119.662224,28.47433,9.076345,-48.729214,-14.507526,-11.457531,-19.272032,-30.649088,-7.1154256,-12.543705,4.8837457,-13.089985
Hasta olduğu için birkaç günden beri gelmediğini söylediler.,3.888,2,0,fifties,male_masculine,unknown,Hasta olduğu için birkaç günden beri gelmediğini söylediler.,hasta olduğu için birkaç günden beri gelmediğini söylediler,8,59,188.51152904609924,0.123946376,0.13467945772058823,-218.35315,98.989716,24.393225,32.838997,-33.432632,-21.040745,-19.377573,-16.290722,-22.576693,-5.53294,-19.580734,3.690861,-17.004507
Belki bu da kâfiydi.,1.8,2,0,fifties,male_masculine,unknown,Belki bu da kâfiydi.,belki bu da kfiydi,4,18,200.80586547499567,0.13191976,0.11021592881944445,-215.44379,93.94994,20.910755,34.06323,-27.19624,-18.628733,-26.252958,-14.924421,-23.032766,-5.9145026,-19.164835,4.0148892,-13.95529
Ve artık tamamıyla pençesine düşmüş olduğum bir cesaretsizlik.,4.572,2,1,fifties,male_masculine,unknown,Ve artık tamamıyla pençesine düşmüş olduğum bir cesaretsizlik.,ve artık tamamıyla pençesine düşmüş olduğum bir cesaretsizlik,8,61,188.06791200186532,0.112526685,0.16467891179078015,-224.08862,89.66952,27.953249,30.752735,-30.172783,-16.80893,-27.539015,-8.159697,-24.683378,-6.3348875,-22.47132,3.4653783,-10.236837
"Yüksek limonlukların içinde sıcak memleket nebatları, kaim gövdeli ve küçük yapraklı ağaçları vardı.",7.704,2,0,fifties,male_masculine,unknown,"Yüksek limonlukların içinde sıcak memleket nebatları, kaim gövdeli ve küçük yapraklı ağaçları vardı.",yüksek limonlukların içinde sıcak memleket nebatları kaim gövdeli ve küçük yapraklı ağaçları vardı,13,98,201.2336136146585,0.1243182,0.10555081407563026,-231.92706,104.384155,18.590357,25.574818,-29.419077,-18.942572,-24.608664,-16.392563,-23.426264,-11.4648905,-17.66874,2.8977308,-12.730524
Soğuktan gözlerimi kırpıyor ve koşar gibi hızlı adımlarla ilerliyordum.,4.896,2,0,fifties,male_masculine,unknown,Soğuktan gözlerimi kırpıyor ve koşar gibi hızlı adımlarla ilerliyordum.,soğuktan gözlerimi kırpıyor ve koşar gibi hızlı adımlarla ilerliyordum,9,70,187.27980310419923,0.104744196,0.09564815293874172,-250.10777,115.469864,20.288197,20.574284,-29.321098,-15.3239765,-16.875744,-22.900705,-26.07626,-11.279748,-15.635263,3.0201375,-15.000191
Babam Havranlıydı.,1.692,3,0,fifties,male_masculine,unknown,Babam Havranlıydı.,babam havranlıydı,2,17,189.52617739735655,0.095892966,0.06727749693627451,-286.18484,143.68553,29.750656,7.9467397,-47.54273,-17.882854,-2.20316,-10.726675,-27.002234,-5.0934277,-13.097896,3.499606,-6.1788583
Sevmeyi yalnız bizler biliriz.,2.592,2,0,fifties,male_masculine,unknown,Sevmeyi yalnız bizler biliriz.,sevmeyi yalnız bizler biliriz,4,29,185.62061380896893,0.10453217,0.21958440466772153,-269.75452,57.97386,49.580326,24.202795,-24.528128,-16.58882,-26.422867,-14.797388,-18.631638,-3.817287,-20.675117,4.8183503,-17.114595
"Kısa, münakaşasız ve hesapsız!",2.988,2,0,fifties,male_masculine,unknown,"Kısa, münakaşasız ve hesapsız!",kısa münakaşasız ve hesapsız,4,28,179.5410860640914,0.08291484,0.32633284684065933,-256.40118,51.145584,50.926243,2.0661712,-29.973984,-4.624174,-29.931114,-9.829849,-29.523499,2.3607843,-17.49305,5.352024,-15.474992
Öyle konuşmuştuk!,1.404,2,1,fifties,male_masculine,unknown,Öyle konuşmuştuk!,öyle konuşmuştuk,2,16,184.0702306118243,0.10291288,0.16134717987804878,-211.06636,85.879654,8.712303,24.189226,-24.324482,-6.0300946,-20.219608,-17.641731,-25.570324,-4.630821,-19.041721,5.8314223,-7.7326117
"Bütün yaz, ayağımda çizmeler, altımda bir at, dağda bayırda zeytinlikleri dolaştım.",5.58,2,0,fifties,male_masculine,unknown,"Bütün yaz, ayağımda çizmeler, altımda bir at, dağda bayırda zeytinlikleri dolaştım.",bütün yaz ayağımda çizmeler altımda bir at dağda bayırda zeytinlikleri dolaştım,11,79,199.06118879184763,0.11700013,0.12574377725290697,-225.65979,98.25896,25.584373,19.79442,-33.90863,-12.940253,-24.947857,-13.262126,-27.598707,-7.4475703,-17.671894,2.6140869,-13.091363
Gözlerimin önünde hep onun hayali vardı.,2.7,2,0,fifties,male_masculine,unknown,Gözlerimin önünde hep onun hayali vardı.,gözlerimin önünde hep onun hayali vardı,6,39,202.42471784873914,0.13773926,0.07261099466463415,-202.3815,121.41423,2.0751433,17.636295,-30.569464,-14.173642,-23.47986,-23.616459,-16.570593,-14.256631,-19.005684,1.1139312,-10.27715
Geriye dönerek kenarları çamurlu asfalt üzerinde Keçiören istikametinde yürüdüm.,5.184,2,0,fifties,male_masculine,unknown,Geriye dönerek kenarları çamurlu asfalt üzerinde Keçiören istikametinde yürüdüm.,geriye dönerek kenarları çamurlu asfalt üzerinde keçiören istikametinde yürüdüm,9,79,197.11782806641096,0.104048945,0.131707763671875,-225.31071,100.507,17.949911,27.370304,-26.301281,-15.478793,-24.241367,-14.948175,-22.656765,-11.936742,-20.95198,2.0481706,-12.457881
Fakat artık değişecektim.,1.872,2,0,fifties,male_masculine,unknown,Fakat artık değişecektim.,fakat artık değişecektim,3,24,198.47453140357763,0.10721305,0.1323584841008772,-203.99904,97.482925,11.729502,23.855259,-22.055788,-17.185867,-27.958824,-7.899421,-28.594105,-7.8489094,-17.692938,7.192332,-15.446056
Hatta bir parça da vals yapabiliyordum.,2.7,2,0,fifties,male_masculine,unknown,Hatta bir parça da vals yapabiliyordum.,hatta bir parça da vals yapabiliyordum,6,38,194.91433006625533,0.1260708,0.10350371570121951,-232.77785,126.60825,12.526593,14.728904,-29.322493,-15.38591,-14.7088175,-14.950228,-30.341902,-12.223295,-15.681344,3.5477042,-7.4568453
Sırtında ince bir yün elbiseden başka bir şey yoktu.,3.672,2,0,fifties,male_masculine,unknown,Sırtında ince bir yün elbiseden başka bir şey yoktu.,sırtında ince bir yün elbiseden başka bir şey yoktu,9,51,204.1793749810801,0.122638345,0.12572594026548672,-231.02518,92.93507,27.646591,38.906425,-21.81659,-20.28399,-20.468527,-17.225548,-27.495668,-8.765556,-25.566322,1.2615535,-14.20651
Onu çok seviyordum.,1.404,2,0,fifties,male_masculine,unknown,Onu çok seviyordum.,onu çok seviyordum,3,18,173.5271379922051,0.10799105,0.1187476181402439,-227.57031,127.44191,6.512333,27.216108,-28.166185,-12.665792,-13.3876295,-13.035053,-19.429556,-14.335482,-24.550434,2.5691175,-9.810301
Çocuk içeri çekilmişti.,1.692,2,0,fifties,male_masculine,unknown,Çocuk içeri çekilmişti.,çocuk içeri çekilmişti,3,22,206.55019338816155,0.08276594,0.20175589767156862,-212.7824,40.596966,17.09096,56.578667,-19.934704,-10.505114,-31.054516,-2.5718782,-22.019758,-12.710763,-26.463163,5.784456,-14.378753
Herhalde bizimkiler döndüler.,2.196,2,0,fifties,male_masculine,unknown,Herhalde bizimkiler döndüler.,herhalde bizimkiler döndüler,3,28,182.16809900895748,0.12116236,0.12951290246212122,-206.4467,98.762535,-2.4190483,30.026327,-28.043653,-17.656242,-24.668447,-13.708314,-24.374321,-1.6216081,-11.321094,0.30056143,-16.271112
Hep o korku yüzünden.,1.8,2,0,fifties,male_masculine,unknown,Hep o korku yüzünden.,hep o korku yüzünden,4,20,202.9238228787861,0.069936976,0.07945421006944445,-299.04996,123.59833,25.865221,18.798876,-35.466114,-19.15836,-11.364494,-11.10055,-21.314108,-8.140704,-17.44647,-3.0542877,-10.367193
Bu portrede ne vardı?..,1.584,2,0,fifties,male_masculine,unknown,Bu portrede ne vardı?..,bu portrede ne vardı,4,20,194.14055104695973,0.13957648,0.07481092087765957,-212.17744,142.9829,11.705156,14.002601,-43.910713,-15.682725,-14.8354,-16.39086,-22.442038,-10.066188,-16.620014,0.029152822,-10.459078
Fakat o da sarışın değil!,1.8,2,0,fifties,male_masculine,unknown,Fakat o da sarışın değil!,fakat o da sarışın değil,5,24,205.71748977978655,0.13525368,0.15073423032407407,-192.08575,81.504875,22.449081,31.376558,-41.408222,-7.7779593,-19.48464,-11.882042,-30.59978,-6.2563505,-20.692564,2.4288433,-11.345585
Bir kadın herhangi bir şekilde hoşuma gidince ilk yaptığım iş ondan kaçmak olurdu.,5.58,2,0,fifties,male_masculine,unknown,Bir kadın herhangi bir şekilde hoşuma gidince ilk yaptığım iş ondan kaçmak olurdu.,bir kadın herhangi bir şekilde hoşuma gidince ilk yaptığım iş ondan kaçmak olurdu,13,81,203.7423674629117,0.106831275,0.10522177053052326,-220.99423,102.8444,16.301306,27.172272,-33.490147,-14.451704,-19.609451,-13.135765,-27.53347,-10.311963,-17.832933,-1.2371001,-10.82729
Ağır ağır yürüdüm.,1.476,2,0,fifties,male_masculine,unknown,Ağır ağır yürüdüm.,ağır ağır yürüdüm,3,17,196.26482076083013,0.11880248,0.05675159801136364,-251.73984,136.11852,4.247073,22.599998,-36.254894,-20.928127,3.5645554,-24.482136,-33.44222,-11.224856,-15.381098,8.007428,-13.142951
"Fakat bu halleri pek çabuk geçiyor, aramızda tekrar eski arkadaşlık havası peyda oluyordu.",5.904,2,0,fifties,male_masculine,unknown,"Fakat bu halleri pek çabuk geçiyor, aramızda tekrar eski arkadaşlık havası peyda oluyordu.",fakat bu halleri pek çabuk geçiyor aramızda tekrar eski arkadaşlık havası peyda oluyordu,13,88,208.33809815113526,0.10919867,0.12453049879807693,-220.08357,114.67895,13.213488,13.664651,-29.062769,-16.472282,-22.102413,-14.552342,-31.426508,-11.135273,-15.012231,3.0302255,-11.127042
"Bana gelince, benim cesaretim var.",2.484,2,0,fifties,male_masculine,unknown,"Bana gelince, benim cesaretim var.",bana gelince benim cesaretim var,5,32,194.95669120357323,0.11869003,0.12407483552631579,-217.63142,89.56642,8.746924,38.04901,-33.061718,-15.286694,-26.619843,-3.7190094,-31.559452,-13.884411,-16.104647,2.7730892,-11.50959
Seninle hiç şöyle uzun boylu konuşamadık evladım.,3.276,2,0,fifties,male_masculine,unknown,Seninle hiç şöyle uzun boylu konuşamadık evladım.,seninle hiç şöyle uzun boylu konuşamadık evladım,7,48,197.25163106233214,0.10880543,0.12241839418316831,-227.6707,102.86053,7.8380175,37.59038,-37.89364,-10.709487,-20.210388,-10.961551,-32.83377,-11.832738,-20.131033,-1.4158556,-8.543587
Sesi hiç değişmemişti.,1.98,2,0,fifties,male_masculine,unknown,Sesi hiç değişmemişti.,sesi hiç değişmemişti,3,21,195.79048842735548,0.08843978,0.28583984375,-234.70822,17.74829,25.318176,67.1756,-21.22376,-21.12862,-31.020176,8.681281,-30.160137,-6.952581,-27.718382,8.488039,-15.063517
